Title,Authors,Abstract,Publication Date,Journal,Keywords,MeSH Terms,DOI,Author Affiliations
Microfluidic paper-based analytical devices for potential use in quantitative and direct detection of disease biomarkers in clinical analysis.,"Wei Yin Lim, Boon Tong Goh, Sook Mei Khor","Clinicians, working in the health-care diagnostic systems of developing countries, currently face the challenges of rising costs, increased number of patient visits, and limited resources. A significant trend is using low-cost substrates to develop microfluidic devices for diagnostic purposes. Various fabrication techniques, materials, and detection methods have been explored to develop these devices. Microfluidic paper-based analytical devices (μPADs) have gained attention for sensing multiplex analytes, confirming diagnostic test results, rapid sample analysis, and reducing the volume of samples and analytical reagents. μPADs, which can provide accurate and reliable direct measurement without sample pretreatment, can reduce patient medical burden and yield rapid test results, aiding physicians in choosing appropriate treatment. The objectives of this review are to provide an overview of the strategies used for developing paper-based sensors with enhanced analytical performances and to discuss the current challenges, limitations, advantages, disadvantages, and future prospects of paper-based microfluidic platforms in clinical diagnostics. μPADs, with validated and justified analytical performances, can potentially improve the quality of life by providing inexpensive, rapid, portable, biodegradable, and reliable diagnostics.",2017-01-01,"Journal Of Chromatography. B, Analytical Technologies In The Biomedical And Life Sciences","biomedical applications, biosensors, clinical diagnostics, fabrication techniques, microfluidic paper-based analytical device, multiplex analysis","biomarkers, humans, microfluidic analytical techniques, paper",10.1016/j.jchromb.2017.06.040,"Department of Chemistry, Faculty of Science, University of Malaya, 50603 Kuala Lumpur, Malaysia., Low Dimensional Materials Research Centre, Department of Physics, Faculty of Science, University of Malaya, 50603 Kuala Lumpur, Malaysia., Department of Chemistry, Faculty of Science, University of Malaya, 50603 Kuala Lumpur, Malaysia; University Malaya Centre for Ionic Liquids (UMCiL), University of Malaya, 50603 Kuala Lumpur, Malaysia. Electronic address: naomikhor@um.edu.my."
Recent studies on cellulose-based fluorescent smart materials and their applications: A comprehensive review.,"Haq Nawaz, Xun Zhang, Sheng Chen, Tingting You, Feng Xu","The progress of bio-based fluorescent smart materials and their multifunctional applications have attained increasing interest in the recent decades. Cellulose is among the cheapest and widespread raw material on earth which can be modified into diverse useful materials. This review summarizes the chemical modification of cellulose into smart fluorescent materials. This further highlights on the fabrication of the prepared fluorescent materials into films, fibers, paper strips, carbon dots, hydrogels and solutions which are applied for the sensing of toxic metals and anions, pH, bioimaging, common organic solvents, aliphatic and aromatic amines, nitroaromatics, fluorescent printing, coating, and anti-counterfeiting applications. Finally, the discussion about the upcoming investigations, challenges, and options open for the cellulose-based luminescence sensors are communicated. We believe that this review will appeal more and more attention and curiosity for the chemists, biochemists, and chemical engineers working with the synthesis of cellulose-based fluorescent materials for widespread applications.",2021-01-01,Carbohydrate Polymers,"cellulose, material fabrication, modification, sensing applications, smart fluorescent sensors","cellulose, chemistry techniques, analytical, fluorescent dyes, hydrogels, paper, quantum dots, smart materials",10.1016/j.carbpol.2021.118135,"Beijing Key Laboratory of Lignocellulosic Chemistry, Beijing Forestry University, Beijing 100083, PR China. Electronic address: haqnawaz@bjfu.edu.cn., Beijing Key Laboratory of Lignocellulosic Chemistry, Beijing Forestry University, Beijing 100083, PR China., Beijing Key Laboratory of Lignocellulosic Chemistry, Beijing Forestry University, Beijing 100083, PR China., Beijing Key Laboratory of Lignocellulosic Chemistry, Beijing Forestry University, Beijing 100083, PR China., Beijing Key Laboratory of Lignocellulosic Chemistry, Beijing Forestry University, Beijing 100083, PR China. Electronic address: xfx315@bjfu.edu.cn."
"The risk of corruption in public pharmaceutical procurement: how anti-corruption, transparency and accountability measures may reduce this risk.","Jillian Clare Kohler, Deirdre Dimancesco","<b>Background</b>: The goal of the public procurement of pharmaceuticals is to purchase sufficient quantities of high-quality pharmaceuticals at cost-effective prices for a given population. This goal can be undercut if corruption infiltrates the procurement process. Good procurement practices can help mitigate the risks of corruption and support equitable access to affordable and high-quality medicines.<b>Objectives</b>: This paper aims to 1) examine manifestations of corruption in the pharmaceutical procurement process and key factors behind them, and 2) identify how to design and implement effective anti-corruption, transparency and accountability mechanisms within this process.<b>Methods</b>: This paper was informed by a narrative literature review from 1996 to the present. The search focused on publications that addressed the issue of pharmaceutical procurement and governance and corruption issues. Our search included peer-reviewed literature, books, grey literature such as working papers, reports published by international organizations and donor agencies, and some media articles. Some documents used in this paper were already known to the authors.<b>Results</b>: Procurement is highly vulnerable to corruption particularly in the health sector. What is more, corruption in the procurement process does not appear to be limited to any one level of government or type of health system. The better integration of accountability, transparency and anti-corruption mechanisms in the procurement process is needed to reduce the risk of corruption.<b>Conclusions</b>: Lessons learned suggest that anti-corruption, transparency and accountability mechanisms in the pharmaceutical procurement process, such as open contracting and integrity pacts are helpful towards reducing the risk of corruption.",,Global Health Action,"anti-corruption, transparency and accountability, procurement practices, accountability, e-procurement, good governance, health, open contracting, transparency","fraud, government programs, humans, pharmaceutical preparations, social responsibility",1694745,"Leslie Dan Faculty of Pharmacy, University of Toronto, Toronto, Ontario, Canada., Essential Medicines & Health Products Department, World Health Organization (WHO), Geneva, Switzerland."
Self-assembled all-polysaccharide hydrogel film for versatile paper-based food packaging.,"Lei Dai, Xiangju Xi, Xinyu Li, Wei Li, Yuehong Du, Yong Lv, Wenhang Wang, Yonghao Ni","Paper-based packaging generally has poor performances in the gas/oil barriers. This work reports a paper-based packaging material prepared via the modification of conventional papers with TEMPO-oxidized cellulose nanofibers (TOCN)/cationic guar gum (CGG) hydrogel film. Specifically, the hydrogel film modification was realized through a layer-by-layer deposition on paper. The hydrogel film modification significantly improved the mechanical and barrier properties of the paper. Specifically, the 4-layer hydrogel film modified paper showed a tensile strength of 34.03 MPa and a burst strength of 510 kPa, respectively. In contrast, the unmodified paper exhibited a tensile strength of 26.78 MPa and a bursting strength of 388 kPa. The packaging performance of this TOCN/CGG hydrogel film modified paper was demonstrated via the fresh mooncake packaging test. Such hydrogel film not only provided the oil resistance, but also maintained the mooncake's freshness. This material can serve as a green and sustainable food packaging.",2021-01-01,Carbohydrate Polymers,"film, food packaging, guar gum, nanocellulose, paper","cellulose, oxidized, food packaging, galactans, hydrogels, mannans, nanofibers, paper, permeability, plant gums, printing, tensile strength, water",10.1016/j.carbpol.2021.118425,"College of Bioresources Chemical and Materials Engineering, Shaanxi University of Science and Technology, Xi'an 710021, China. Electronic address: dailei@sust.edu.cn., College of Bioresources Chemical and Materials Engineering, Shaanxi University of Science and Technology, Xi'an 710021, China., College of Bioresources Chemical and Materials Engineering, Shaanxi University of Science and Technology, Xi'an 710021, China., College of Textiles and Garments, Anhui Polytechnic University, Wuhu 241000, China. Electronic address: liw@ahpu.edu.cn., Key Laboratory of Food Nutrition and Safety, Ministry of Education, Tianjin University of Science and Technology, Tianjin, China., School of Mechanical Engineering and Information, Yiwu Industrial & Commercial College, Yiwu 322000, China., Key Laboratory of Food Nutrition and Safety, Ministry of Education, Tianjin University of Science and Technology, Tianjin, China. Electronic address: wangwenhang@tust.edu.cn., Department of Chemical Engineering, University of New Brunswick, Fredericton, New Brunswick E3B 5A3, Canada. Electronic address: yonghao@unb.ca."
Family Caregiving and the Intergenerational Transmission of Poverty.,Richard L Kaplan,"The United States relies on uncompensated family caregivers to provide most of the long-term care required by older adults as they age. But such care comes at a significant financial cost to these caregivers in the form of lower lifetime earnings and diminished (or even no) Social Security retirement benefits, ineligibility for Medicare coverage of their healthcare costs, and minimal retirement savings. To reduce the impact of uncompensated caregiving on the intergenerational transmission of poverty, this paper discusses three possible mechanisms of compensating family caregivers: public payments, deemed wage credits under Social Security, and income tax incentives.",,"The Journal Of Law, Medicine & Ethics : A Journal Of The American Society Of Law, Medicine & Ethics",no keywords,"caregivers, family, financing, government, humans, income tax, medicalization, poverty, retirement, social security, united states",10.1177/1073110518804216,"Richard L. Kaplan, J.D., is the Guy Raymond Jones Chair in Law at the University of Illinois."
Materials for microfluidic chip fabrication.,"Kangning Ren, Jianhua Zhou, Hongkai Wu","Through manipulating fluids using microfabricated channel and chamber structures, microfluidics is a powerful tool to realize high sensitive, high speed, high throughput, and low cost analysis. In addition, the method can establish a well-controlled microenivroment for manipulating fluids and particles. It also has rapid growing implementations in both sophisticated chemical/biological analysis and low-cost point-of-care assays. Some unique phenomena emerge at the micrometer scale. For example, reactions are completed in a shorter amount of time as the travel distances of mass and heat are relatively small; the flows are usually laminar; and the capillary effect becomes dominant owing to large surface-to-volume ratios. In the meantime, the surface properties of the device material are greatly amplified, which can lead to either unique functions or problems that we would not encounter at the macroscale. Also, each material inherently corresponds with specific microfabrication strategies and certain native properties of the device. Therefore, the material for making the device plays a dominating role in microfluidic technologies. In this Account, we address the evolution of materials used for fabricating microfluidic chips, and discuss the application-oriented pros and cons of different materials. This Account generally follows the order of the materials introduced to microfluidics. Glass and silicon, the first generation microfluidic device materials, are perfect for capillary electrophoresis and solvent-involved applications but expensive for microfabriaction. Elastomers enable low-cost rapid prototyping and high density integration of valves on chip, allowing complicated and parallel fluid manipulation and in-channel cell culture. Plastics, as competitive alternatives to elastomers, are also rapid and inexpensive to microfabricate. Their broad variety provides flexible choices for different needs. For example, some thermosets support in-situ fabrication of arbitrary 3D structures, while some perfluoropolymers are extremely inert and antifouling. Chemists can use hydrogels as highly permeable structural material, which allows diffusion of molecules without bulk fluid flows. They are used to support 3D cell culture, to form diffusion gradient, and to serve as actuators. Researchers have recently introduced paper-based devices, which are extremely low-cost to prepare and easy to use, thereby promising in commercial point-of-care assays. In general, the evolution of chip materials reflects the two major trends of microfluidic technology: powerful microscale research platforms and low-cost portable analyses. For laboratory research, chemists choosing materials generally need to compromise the ease in prototyping and the performance of the device. However, in commercialization, the major concerns are the cost of production and the ease and reliability in use. There may be new growth in the combination of surface engineering, functional materials, and microfluidics, which is possibly accomplished by the utilization of composite materials or hybrids for advanced device functions. Also, significant expanding of commercial applications can be predicted.",2013-01-01,Accounts Of Chemical Research,no keywords,"hydrogels, microfluidics, paper",10.1021/ar300314s,"Department of Chemistry, the Hong Kong University of Science and Technology , Clear Water Bay, Kowloon, Hong Kong, China."
Developments in coupled solid-phase extraction-capillary electrophoresis 2009-2011.,"Rawi Ramautar, Gerhardus J De Jong, Govert W Somsen","This article presents an overview of the design and application of coupled solid-phase extraction-capillary electrophoresis (SPE-CE) systems that have been reported in the literature between January 2009 and July 2011. The present paper is an update of two previous review papers covering the years 2000-2009 (Electrophoresis 2008, 29, 108-128; Electrophoresis 2010, 31, 44-54). Both in-line and on-line SPE-CE approaches are treated and outlined. Attention is paid to emerging technological developments, such as the use of carbon nanotubes and magnetic particles for on-line extraction of sample components prior to CE analysis. Selected examples illustrate the applicability of SPE-CE in biomedical, pharmaceutical, environmental and food analysis. A full overview of recent SPE-CE studies is given in table format, providing information about sample type, SPE sorbent, coupling mode, detection mode and limit of detection. Finally, some general conclusions and future perspectives are given.",2011-01-01,Electrophoresis,no keywords,"blood proteins, electrophoresis, capillary, food analysis, humans, magnets, nanotubes, carbon, pharmaceutical preparations, rivers, solid phase extraction",10.1002/elps.201100453,"Biomolecular Analysis, Department of Pharmaceutical Sciences, Utrecht University, Utrecht, The Netherlands. R.Ramautar@lumc.nl"
Is Aging a Disease? The Theoretical Definition of Aging in the Light of the Philosophy of Medicine.,"Cristian Saborido, Pablo García-Barranquero","In the philosophical debate on aging, it is common to raise the question of the theoretical definition of aging in terms of its possible characterization as a disease. Understanding aging as a disease seems to imply its medicalization, which has important practical consequences. In this paper, we analyze the question of whether aging is a disease by appealing to the concept of disease in the philosophy of medicine. As a result of this analysis, we argue that a pragmatist approach to the conception of disease is the best alternative to highlight the relevance of the medicalization of aging. From this pragmatist perspective, it can be seen that the notion of aging is going through a conceptual change, and aging can today be understood as a not radically different process from any other condition that is usually considered a disease.",,The Journal Of Medicine And Philosophy,"aging, disease, philosophy of medicine, pragmatism","humans, philosophy, medicalization",10.1093/jmp/jhac030,"UNED, Madrid, Spain., University of Málaga, Málaga, Spain."
Patient Autonomy and Quality of Care in Telehealthcare.,"Giovanni Rubeis, Maximilian Schochow, Florian Steger","Telemedicine is a complex field including various applications and target groups. Especially telehealthcare is seen by many as a means to revolutionize medicine. It gives patients the opportunity to take charge of their own health by using self-tracking devices and allows health professionals to treat patients from a distance. To some, this means an empowerment of patient autonomy as well as an improvement in the quality of care. Others state the dangers of depersonalization of medicine and the pathologization of daily life. This paper examines the ethical implications of telehealthcare, focusing on patient autonomy and quality of care by analyzing metareviews, randomized controlled trials and narrative ethical analyses on the topic. As a result, we conclude that the technically enhanced encounter between patients and health professionals may mean an empowerment of patient autonomy when it goes along with a personal relationship based on trust, assistance and support. When it comes to the quality of care, telehealthcare may lead to an improvement as long it is adopted to the patient's individual needs.",2017-01-01,Science And Engineering Ethics,"empowerment, patient autonomy, quality of care, telehealthcare, telemedicine","activities of daily living, depersonalization, ethical analysis, humans, medicalization, personal autonomy, power, psychological, professional-patient relations, quality of health care, self care, telemedicine, trust",10.1007/s11948-017-9885-3,"Institute of the History, Philosophy and Ethics of Medicine, Ulm University, Ulm, Germany. giovanni.rubeis@uni-ulm.de., Institute of the History, Philosophy and Ethics of Medicine, Ulm University, Ulm, Germany., Institute of the History, Philosophy and Ethics of Medicine, Ulm University, Ulm, Germany."
In vitro - In vivo correlation in the development of oral drug formulation: A screenshot of the last two decades.,"Marcelo Gomes Davanço, Daniel Rossi Campos, Patrícia De Oliveira Carvalho","In vitro - in vivo correlation (IVIVC) allows prediction of the in vivo performance of a pharmaceutical product based on its in vitro drug release profiles and can be used to optimize formulations, set dissolution limits, reduce the number of bioequivalence studies during product development, and facilitate certain regulatory decisions. This review article aimed to assess papers published in the last two decades regarding the use of the IVIVC in the development of oral formulations, to demonstrate the scenario in this area, as well as to describe the main characteristics of the assessed studies. A systematic search of PubMed and Web of Science databases was conducted to retrieve articles reporting the use of the IVIVC in the oral formulation development in the period from 1998 to 2018. The qualified studies were abstracted regarding drug name, dosage form, BCS class, in vitro and in vivo data, level of IVIVC, number of formulations, presence of the validation and predictability. The discussion was supported by these data, which allowed to address broadly strengths and weaknesses in this area. Moreover, a large database has been described in this article containing different IVIVC models, with different substances, providing support to scientists interested in this area.",2020-01-01,International Journal Of Pharmaceutics,"biopharmaceutics classification system, development, dissolution, ivivc, in vitro – in vivo correlation, oral formulation","administration, oral, animals, databases, factual, drug compounding, drug development, humans, pharmaceutical preparations",10.1016/j.ijpharm.2020.119210,"Universidade São Francisco, Programa de Pós-graduação Stricto Sensu em Ciências da Saúde, Bragança Paulista, São Paulo, Brazil. Electronic address: davanco.marcelo@gmail.com., Universidade São Francisco, Programa de Pós-graduação Stricto Sensu em Ciências da Saúde, Bragança Paulista, São Paulo, Brazil. Electronic address: camposrossi@gmail.com., Universidade São Francisco, Programa de Pós-graduação Stricto Sensu em Ciências da Saúde, Bragança Paulista, São Paulo, Brazil. Electronic address: patricia.carvalho@usf.edu.br."
Detection and quantitation of synthetic cannabinoid receptor agonists in infused papers from prisons in a constantly evolving illicit market.,"Caitlyn Norman, Gillian Walker, Brian Mckirdy, Ciara Mcdonald, Daniel Fletcher, Lysbeth H Antonides, Oliver B Sutcliffe, Niamh Nic Daéid, Craig Mckenzie","Drug misuse in prisons contributes to increased disruption and violence and negatively impacts prisoner safety, rehabilitation, and recovery. Synthetic cannabinoid receptor agonists (SCRAs), colloquially known as ""spice"", are infused into papers and are of particular concern in a prison setting where they are commonly vaped. Methods for the qualitative and quantitative analysis of SCRA infused papers, including impurity profiling, were developed using gas chromatography-mass spectrometry (GC-MS) with qualitative confirmation by ultra high pressure liquid chromatography with photodiode array and quadrupole time of flight mass spectrometry detection (UPLC-PDA-QToF-MS) and applied to 354 individual seized paper samples originating from 168 seizures from three Scottish prisons. Of these samples, 41% (146 samples from 101 seizures) contained at least one SCRA and multiple SCRAs were detected on 23% of these papers. Concentrations ranged from < 0.05-1.17 mg/cm<sup>2</sup> paper, representing the first reported quantitative data for SCRA infused papers. An evolution in the SCRAs detected was demonstrated; 5F-MDMB-PINACA (5F-ADB) predominated until late 2018, after which time 5F-MDMB-PICA and 4F-MDMB-BINACA became increasingly more prevalent, followed by the arrival of MDMB-4en-PINACA in June 2019. Concentration mapping data from two seized paper samples demonstrated that SCRA concentrations across larger papers were highly variable (0.47-2.38 mg/cm<sup>2</sup> paper) making consistent dosing by users, and representative sampling by laboratory analysts, difficult. Near real-time qualitative and quantitative information on SCRAs circulating in prisons acts as an early warning system for SCRAs emerging on the wider illicit market, inform the methods used to detect them and limit supply, and provide information to support harm reduction measures.",2020-01-01,Drug Testing And Analysis,"forensic chemistry, infused papers, new psychoactive substances, prison, synthetic cannabinoid receptor agonists","cannabinoid receptor agonists, cannabinoids, chromatography, high pressure liquid, gas chromatography-mass spectrometry, humans, illicit drugs, magnetic resonance spectroscopy, paper, prisons, psychotropic drugs",10.1002/dta.2767,"Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK., Public Protection Unit, Scottish Prison Service, Edinburgh, UK., Public Protection Unit, Scottish Prison Service, Edinburgh, UK., Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK., Drug Discovery Unit, School of Life Sciences, University of Dundee, UK., Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK., Division of Chemistry and Environmental Science, Manchester Metropolitan University, Manchester, UK., Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK., Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK."
An Intelligent System for Proper Management and Disposal of Unused and Expired Medications.,"Haneen Banjar, Rahaf Alrowithi, Sara Alhadrami, Esraa Magrabi, Reema Munshi, Mayda Alrige","For years, several countries have been concerned about how to dispose of unused pharmaceuticals that can endanger human health and the environment. Moreover, some people are in desperate need of medical attention and medications, but they lack the financial resources to obtain them. In Saudi Arabia, there are no take-back medicine programs, and there is no published research on how medications properly are disposed. The aim of this research is to use the power of artificial intelligence to assist in the proper management and disposal of expired and unused medications and to develop a prototype device for collecting medication by automatically classifying medications for proper disposal and donation. In this research, artificial intelligence technologies such as web-based expert systems, image recognition and classification algorithms, chatbots, and the internet of things are used to assist in a take-back medications program. In conclusion, the prototype design of a web-based expert system and the device reduced improper disposal risks by providing significant advice on the safe disposal of unwanted pharmaceuticals. By using an organized method of collecting expired medications, the benefits were made possible.",2022-01-01,International Journal Of Environmental Research And Public Health,"chatbot, disposal of medication, donation device, image classification, take-back medication program, web-based expert system","algorithms, artificial intelligence, humans, pharmaceutical preparations, recognition, psychology, refuse disposal, saudi arabia",2875,"Computer Science Department, Faculty of Computing and Information Technology, King Abdulaziz University, P.O. Box 80221, Jeddah 21589, Saudi Arabia., Computer Science Department, Faculty of Computing and Information Technology, King Abdulaziz University, P.O. Box 80221, Jeddah 21589, Saudi Arabia., Computer Science Department, Faculty of Computing and Information Technology, King Abdulaziz University, P.O. Box 80221, Jeddah 21589, Saudi Arabia., Computer Science Department, Faculty of Computing and Information Technology, King Abdulaziz University, P.O. Box 80221, Jeddah 21589, Saudi Arabia., Clinical Pharmacy Department, College of Pharmacy, Umm al-Qura University, Makkah 21961, Saudi Arabia., Information System Department, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah 21589, Saudi Arabia."
Solid oral medications' suitability for use in enteral feeding tubes.,"Kersti Teder, Liisa Jõhvik, Andres Meos, Marika Saar, Alesya Visbek, Daisy Volmer, Juri Karjagin","There is a lack of specific data about the efficacy and safety of medications administered via feeding tubes, although there is a general awareness that not all drug formulations are suitable.",2021-01-01,Nursing In Critical Care,"crushing, feeding tube, medications, solid oral dosage forms","enteral nutrition, humans, intensive care units, intubation, gastrointestinal, pharmaceutical preparations, retrospective studies",10.1111/nicc.12729,"Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Pharmacy Department, Tartu University Hospital, Tartu, Estonia., Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Institute of Clinical Medicine, Faculty of Medicine, University of Tartu, Tartu, Estonia."
A concise review of applications of micellar liquid chromatography to study biologically active compounds.,Katarzyna E Stępnik,"The features of micellar systems are outstanding compared with conventional RP-LC ones. Therefore, the unique properties of micellar chromatography (MLC) are widely recognized. In this short review the applicability of MLC as an in vitro method for the determination of biological activity is discussed. For this purpose many specific examples of MLC applications supported by the theoretical backgrounds of the cited biological activity areas as well as the factors affecting them are presented. This study collects and organizes the most important references of bioactivity determination which were created both recently and in the past, using the MLC method. Although there are many papers on the MLC there is no literature review focused particularly on its applicability in the study of biological activity of various compounds. This work can be treated as a significant review of so far published papers which particularly emphasizes the importance of MLC as in vitro method for determination of bioactivity of different compounds. Copyright © 2016 John Wiley & Sons, Ltd.",2016-01-01,Biomedical Chromatography : Bmc,"biological activity, in vitro, in vivo and in silico methods, micellar liquid chromatography","animals, chromatography, liquid, humans, micelles, pharmaceutical preparations, pharmacokinetics, proteins, substance abuse detection",10.1002/bmc.3741,"Faculty of Chemistry, Chair of Physical Chemistry, Department of Planar Chromatography, Maria Curie-Skłodowska University, M. Curie-Skłodowska Sq. 3, 20-031, Lublin, Poland."
Improving Medication Dosing in the Obese Patient.,Brian L Erstad,"The purpose of this paper is to provide clinicians with important considerations and caveats when evaluating published literature on medication dosing in obese subjects, since much of this literature involves short-term pharmacokinetic or pharmacodynamic studies that are not designed to look at clinically important outcomes. A secondary objective is to suggest improvements in the reporting of dosing information derived from clinical studies and incorporated into product information labeling that should help clinicians design medication-specific dosing regimens for patients with obesity. Data sources included published studies, review papers, and clinical practice guidelines concerning drug dosing of subjects with obesity. Medication dosing recommendations in product labeling typically are derived from studies of normal healthy volunteers and patients with single-system disease states or patients in a specialized setting (e.g. operating room, intensive care unit). Even in studies with relatively large sample sizes there are often relatively few subjects with extremes of body composition such as patients with a body mass index (BMI) greater than 40 kg/m<sup>2</sup>, so the appropriateness of labeled dosing information for these subjects is particularly ill-defined. Investigations of medication labeling information have demonstrated the inadequacy of this information for dosing patients of more extreme body size. Clinical investigations of drugs should be designed and the results reported in a manner that allows for meaningful recommendations for drug dosing in patients with varying degrees of obesity. Until and when such studies are routinely performed, there are steps that can be taken by the pharmaceutical industry, clinicians, and governmental agencies to help insure optimal drug dosing in obesity.",,Clinical Drug Investigation,no keywords,"body composition, body mass index, humans, obesity, pharmaceutical preparations, product labeling",10.1007/s40261-016-0461-4,"Department of Pharmacy Practice and Science, College of Pharmacy, University of Arizona, 1295 N. Martin, PO Box 210202, Tucson, AZ, 85721, USA. erstad@pharmacy.arizona.edu."
Medicalising the menace? The symbiotic convergence of medicine and law enforcement in the medicalisation of marijuana in Minnesota.,Ryan T Steel,"The medicalisation of marijuana has occurred rapidly, albeit nonuniformly, across the US and around the world over the past 3 decades. This paper centres on the medicalisation of marijuana in Minnesota-which has one of the most restrictive programs in the country-as a case for evaluating the negotiation of institutional boundaries with the shift from criminalisation to medicalisation after nearly a century of criminal prohibition. Drawing upon Foucauldian discourse analyses of the medical and law enforcement associations' position statements and legislative hearings that shaped medical marijuana policy in Minnesota, this paper demonstrates a symbiotic convergence between medicine and law enforcement through the deployment of shared discursive strategies in their opposition to medical marijuana that reinforce marijuana's criminalised status by solidifying the boundaries between proper medicine and dangerous drugs. Criminal justice and medical institutions draw upon one another's definitions, logics, and practices in a mutually constitutive manner, while still maintaining distinct user subjects and institutional interventions for each based on the user's access to state-approved forms of marijuana. The consequences for the governing of marijuana in Minnesota are explored, as well as the broader implications for the sociological study of medicalisation and criminalisation with respect to the governance of drugs and health.",2022-01-01,Sociology Of Health & Illness,"criminalisation, discourse analysis, governance, institutional boundaries, medical marijuana","cannabis, humans, law enforcement, medical marijuana, medicalization, minnesota",10.1111/1467-9566.13513,"Department of Sociology and Anthropology, University of Richmond, Richmond, Virginia, USA."
Overview of Spanlastics: A Groundbreaking Elastic Medication Delivery Device with Versatile Prospects for Administration <i>via</i> Various Routes.,"Lalit Kumar, Ritesh Rana, Gauree Kukreti, Vikas Aggarwal, Himanshu Chaurasia, Puneet Sharma, Vuluchala Jyothiraditya","When compared to the challenges associated with traditional dosage forms, medication delivery systems based on nanotechnology have been a huge boon. One such candidate for medication delivery is spanlastics, an elastic nanovesicle that can transport a diverse array of medicinal compounds. The use of spanlastics has been associated with an increase in interest in alternative administration methods. The non-ionic surfactant or surfactant blend is the main component of spanlastics. The purpose of this review was primarily to examine the potential of spanlastics as a delivery system for a variety of medication classes administered via diverse routes. Science Direct, Google Scholar, and Pubmed were utilized to search the academic literature for this review. Several studies have demonstrated that spanlastics greatly improve therapeutic effectiveness, increase medication absorption, and decrease drug toxicity. This paper provides a summary of the composition and structure of spanlastics along with their utility in the delivery of various therapeutic agents by adopting different routes. Additionally, it provides an overview of the numerous disorders that may be treated using drugs that are contained in spanlastic vesicles.",,Current Pharmaceutical Design,"drug toxicity, elastic nanovesicle, medicinal compounds., nanotechnology, non-ionic surfactant, spanlastics","humans, drug delivery systems, drug administration routes, pharmaceutical preparations, animals, elasticity, surface-active agents, nanotechnology",10.2174/0113816128313398240613063019,"Department of Pharmaceutics, GNA School of Pharmacy, GNA University, Phagwara, Punjab 144401, India., Department of Pharmaceutical Sciences (Pharmaceutics), Laureate Institute of Pharmacy, Kathog-Kangra, Himachal Pradesh 176031, India., School of Pharmaceutical Sciences and Technology, Sardar Bhagwan Singh University, Balawala Dehradun, Uttarakhand 248161, India., Senior Pharmacovigilance Specialist, Continuum India LLP, 3rd Floor, Tower F DLF Building, Chandigarh Technology Park, Chandigarh 160101, India., Department of Pharmacy, Quantum School of Health Science, Quantum University, Vill. Mandawar (N.H.73), Roorkee-Dehradun Highway, Roorkee, Uttrakhand 247662, India., Department of Pharmaceutical Sciences (Pharmaceutics), Himachal Institute of Pharmaceutical Education and Research (HIPER), Bela-Nadaun, District-Hamirpur, H.P. 177033, India., Center for Global Health Research, Saveetha Medical College and Hospital, Saveetha Institute of Medical and Technical Sciences, Chennai, Tamil Nadu 602105, India."
Coerced medication in psychiatric inpatient care: literature review.,"Manuela Jarrett, Len Bowers, Alan Simpson","This paper is a report of a narrative review of the coercive use of medication in inpatient psychiatric care to identify a demographic and clinical profile of patients who are forcibly medicated, and to examine patient and staff views of this practice.",,Journal Of Advanced Nursing,no keywords,"attitude of health personnel, coercion, ethnicity, female, humans, informed consent, inpatients, male, mental disorders, mentally ill persons, patient compliance, patient rights, pharmaceutical preparations, practice guidelines as topic",10.1111/j.1365-2648.2008.04832.x,"Health Service and Population Research Department, Institute of Psychiatry, London, UK. manueala.jarrett@iop.kcl.ac.uk"
