ID,Title,Abstract,Keywords,Journal,processed_text
77,Developments in coupled solid-phase extraction-capillary electrophoresis 2009-2011.,"This article presents an overview of the design and application of coupled solid-phase extraction-capillary electrophoresis (SPE-CE) systems that have been reported in the literature between January 2009 and July 2011. The present paper is an update of two previous review papers covering the years 2000-2009 (Electrophoresis 2008, 29, 108-128; Electrophoresis 2010, 31, 44-54). Both in-line and on-line SPE-CE approaches are treated and outlined. Attention is paid to emerging technological developments, such as the use of carbon nanotubes and magnetic particles for on-line extraction of sample components prior to CE analysis. Selected examples illustrate the applicability of SPE-CE in biomedical, pharmaceutical, environmental and food analysis. A full overview of recent SPE-CE studies is given in table format, providing information about sample type, SPE sorbent, coupling mode, detection mode and limit of detection. Finally, some general conclusions and future perspectives are given.",no keywords,Electrophoresis,articl present overview design applic coupl electrophoresi system report literatur januari juli present paper updat two previou review paper cover year electrophoresi electrophoresi approach treat outlin attent paid emerg technolog develop use carbon nanotub magnet particl extract sampl compon prior ce analysi select exampl illustr applic biomed pharmaceut environment food analysi full overview recent studi given tabl format provid inform sampl type spe sorbent coupl mode detect mode limit detect final gener conclus futur perspect given develop coupl electrophoresi
78,Is Aging a Disease? The Theoretical Definition of Aging in the Light of the Philosophy of Medicine.,"In the philosophical debate on aging, it is common to raise the question of the theoretical definition of aging in terms of its possible characterization as a disease. Understanding aging as a disease seems to imply its medicalization, which has important practical consequences. In this paper, we analyze the question of whether aging is a disease by appealing to the concept of disease in the philosophy of medicine. As a result of this analysis, we argue that a pragmatist approach to the conception of disease is the best alternative to highlight the relevance of the medicalization of aging. From this pragmatist perspective, it can be seen that the notion of aging is going through a conceptual change, and aging can today be understood as a not radically different process from any other condition that is usually considered a disease.","aging, disease, philosophy of medicine, pragmatism",The Journal Of Medicine And Philosophy,philosoph debat age common rais question theoret definit age term possibl character diseas understand age diseas seem impli medic import practic consequ paper analyz question whether age diseas appeal concept diseas philosophi medicin result analysi argu pragmatist approach concept diseas best altern highlight relev medic age pragmatist perspect seen notion age go conceptu chang age today understood radic differ process condit usual consid diseas age diseas theoret definit age light philosophi medicin
79,Patient Autonomy and Quality of Care in Telehealthcare.,"Telemedicine is a complex field including various applications and target groups. Especially telehealthcare is seen by many as a means to revolutionize medicine. It gives patients the opportunity to take charge of their own health by using self-tracking devices and allows health professionals to treat patients from a distance. To some, this means an empowerment of patient autonomy as well as an improvement in the quality of care. Others state the dangers of depersonalization of medicine and the pathologization of daily life. This paper examines the ethical implications of telehealthcare, focusing on patient autonomy and quality of care by analyzing metareviews, randomized controlled trials and narrative ethical analyses on the topic. As a result, we conclude that the technically enhanced encounter between patients and health professionals may mean an empowerment of patient autonomy when it goes along with a personal relationship based on trust, assistance and support. When it comes to the quality of care, telehealthcare may lead to an improvement as long it is adopted to the patient's individual needs.","empowerment, patient autonomy, quality of care, telehealthcare, telemedicine",Science And Engineering Ethics,telemedicin complex field includ variou applic target group especi telehealthcar seen mani mean revolution medicin give patient opportun take charg health use devic allow health profession treat patient distanc mean empower patient autonomi well improv qualiti care other state danger deperson medicin patholog daili life paper examin ethic implic telehealthcar focus patient autonomi qualiti care analyz metareview random control trial narr ethic analys topic result conclud technic enhanc encount patient health profession may mean empower patient autonomi goe along person relationship base trust assist support come qualiti care telehealthcar may lead improv long adopt patient individu need patient autonomi qualiti care telehealthcar
80,In vitro - In vivo correlation in the development of oral drug formulation: A screenshot of the last two decades.,"In vitro - in vivo correlation (IVIVC) allows prediction of the in vivo performance of a pharmaceutical product based on its in vitro drug release profiles and can be used to optimize formulations, set dissolution limits, reduce the number of bioequivalence studies during product development, and facilitate certain regulatory decisions. This review article aimed to assess papers published in the last two decades regarding the use of the IVIVC in the development of oral formulations, to demonstrate the scenario in this area, as well as to describe the main characteristics of the assessed studies. A systematic search of PubMed and Web of Science databases was conducted to retrieve articles reporting the use of the IVIVC in the oral formulation development in the period from 1998 to 2018. The qualified studies were abstracted regarding drug name, dosage form, BCS class, in vitro and in vivo data, level of IVIVC, number of formulations, presence of the validation and predictability. The discussion was supported by these data, which allowed to address broadly strengths and weaknesses in this area. Moreover, a large database has been described in this article containing different IVIVC models, with different substances, providing support to scientists interested in this area.","biopharmaceutics classification system, development, dissolution, ivivc, in vitro – in vivo correlation, oral formulation",International Journal Of Pharmaceutics,vitro vivo correl ivivc allow predict vivo perform pharmaceut product base vitro drug releas profil use optim formul set dissolut limit reduc number bioequival studi product develop facilit certain regulatori decis review articl aim assess paper publish last two decad regard use ivivc develop oral formul demonstr scenario area well describ main characterist assess studi systemat search pubm web scienc databas conduct retriev articl report use ivivc oral formul develop period qualifi studi abstract regard drug name dosag form bc class vitro vivo data level ivivc number formul presenc valid predict discus support data allow address broadli strength weak area moreov larg databas describ articl contain differ ivivc model differ substanc provid support scientist interest area vitro vivo correl develop oral drug formul screenshot last two decad
81,Detection and quantitation of synthetic cannabinoid receptor agonists in infused papers from prisons in a constantly evolving illicit market.,"Drug misuse in prisons contributes to increased disruption and violence and negatively impacts prisoner safety, rehabilitation, and recovery. Synthetic cannabinoid receptor agonists (SCRAs), colloquially known as ""spice"", are infused into papers and are of particular concern in a prison setting where they are commonly vaped. Methods for the qualitative and quantitative analysis of SCRA infused papers, including impurity profiling, were developed using gas chromatography-mass spectrometry (GC-MS) with qualitative confirmation by ultra high pressure liquid chromatography with photodiode array and quadrupole time of flight mass spectrometry detection (UPLC-PDA-QToF-MS) and applied to 354 individual seized paper samples originating from 168 seizures from three Scottish prisons. Of these samples, 41% (146 samples from 101 seizures) contained at least one SCRA and multiple SCRAs were detected on 23% of these papers. Concentrations ranged from < 0.05-1.17 mg/cm<sup>2</sup> paper, representing the first reported quantitative data for SCRA infused papers. An evolution in the SCRAs detected was demonstrated; 5F-MDMB-PINACA (5F-ADB) predominated until late 2018, after which time 5F-MDMB-PICA and 4F-MDMB-BINACA became increasingly more prevalent, followed by the arrival of MDMB-4en-PINACA in June 2019. Concentration mapping data from two seized paper samples demonstrated that SCRA concentrations across larger papers were highly variable (0.47-2.38 mg/cm<sup>2</sup> paper) making consistent dosing by users, and representative sampling by laboratory analysts, difficult. Near real-time qualitative and quantitative information on SCRAs circulating in prisons acts as an early warning system for SCRAs emerging on the wider illicit market, inform the methods used to detect them and limit supply, and provide information to support harm reduction measures.","forensic chemistry, infused papers, new psychoactive substances, prison, synthetic cannabinoid receptor agonists",Drug Testing And Analysis,drug misus prison contribut increas disrupt violenc neg impact prison safeti rehabilit recoveri synthet cannabinoid receptor agonist scra colloqui known spice infus paper particular concern prison set commonli vape method qualit quantit analysi scra infus paper includ impur profil develop use ga spectrometri qualit confirm ultra high pressur liquid chromatographi photodiod array quadrupol time flight mass spectrometri detect appli individu seiz paper sampl origin seizur three scottish prison sampl sampl seizur contain least one scra multipl scra detect paper concentr rang sup paper repres first report quantit data scra infus paper evolut scra detect demonstr predomin late time becam increasingli preval follow arriv june concentr map data two seiz paper sampl demonstr scra concentr across larger paper highli variabl sup paper make consist dose user repres sampl laboratori analyst difficult near qualit quantit inform scra circul prison act earli warn system scra emerg wider illicit market inform method use detect limit suppli provid inform support harm reduct measur detect quantit synthet cannabinoid receptor agonist infus paper prison constantli evolv illicit market
82,An Intelligent System for Proper Management and Disposal of Unused and Expired Medications.,"For years, several countries have been concerned about how to dispose of unused pharmaceuticals that can endanger human health and the environment. Moreover, some people are in desperate need of medical attention and medications, but they lack the financial resources to obtain them. In Saudi Arabia, there are no take-back medicine programs, and there is no published research on how medications properly are disposed. The aim of this research is to use the power of artificial intelligence to assist in the proper management and disposal of expired and unused medications and to develop a prototype device for collecting medication by automatically classifying medications for proper disposal and donation. In this research, artificial intelligence technologies such as web-based expert systems, image recognition and classification algorithms, chatbots, and the internet of things are used to assist in a take-back medications program. In conclusion, the prototype design of a web-based expert system and the device reduced improper disposal risks by providing significant advice on the safe disposal of unwanted pharmaceuticals. By using an organized method of collecting expired medications, the benefits were made possible.","chatbot, disposal of medication, donation device, image classification, take-back medication program, web-based expert system",International Journal Of Environmental Research And Public Health,year sever countri concern dispos unus pharmaceut endang human health environ moreov peopl desper need medic attent medic lack financi resourc obtain saudi arabia medicin program publish research medic properli dispos aim research use power artifici intellig assist proper manag dispos expir unus medic develop prototyp devic collect medic automat classifi medic proper dispos donat research artifici intellig technolog expert system imag recognit classif algorithm chatbot internet thing use assist medic program conclus prototyp design expert system devic reduc improp dispos risk provid signific advic safe dispos unwant pharmaceut use organ method collect expir medic benefit made possibl intellig system proper manag dispos unus expir medic
83,Solid oral medications' suitability for use in enteral feeding tubes.,"There is a lack of specific data about the efficacy and safety of medications administered via feeding tubes, although there is a general awareness that not all drug formulations are suitable.","crushing, feeding tube, medications, solid oral dosage forms",Nursing In Critical Care,lack specif data efficaci safeti medic administ via feed tube although gener awar drug formul suitabl solid oral medic suitabl use enter feed tube
84,A concise review of applications of micellar liquid chromatography to study biologically active compounds.,"The features of micellar systems are outstanding compared with conventional RP-LC ones. Therefore, the unique properties of micellar chromatography (MLC) are widely recognized. In this short review the applicability of MLC as an in vitro method for the determination of biological activity is discussed. For this purpose many specific examples of MLC applications supported by the theoretical backgrounds of the cited biological activity areas as well as the factors affecting them are presented. This study collects and organizes the most important references of bioactivity determination which were created both recently and in the past, using the MLC method. Although there are many papers on the MLC there is no literature review focused particularly on its applicability in the study of biological activity of various compounds. This work can be treated as a significant review of so far published papers which particularly emphasizes the importance of MLC as in vitro method for determination of bioactivity of different compounds. Copyright © 2016 John Wiley & Sons, Ltd.","biological activity, in vitro, in vivo and in silico methods, micellar liquid chromatography",Biomedical Chromatography : Bmc,featur micellar system outstand compar convent one therefor uniqu properti micellar chromatographi mlc wide recogn short review applic mlc vitro method determin biolog activ discus purpos mani specif exampl mlc applic support theoret background cite biolog activ area well factor affect present studi collect organ import refer bioactiv determin creat recent past use mlc method although mani paper mlc literatur review focus particularli applic studi biolog activ variou compound work treat signific review far publish paper particularli emphas import mlc vitro method determin bioactiv differ compound copyright john wiley son ltd concis review applic micellar liquid chromatographi studi biolog activ compound
85,Improving Medication Dosing in the Obese Patient.,"The purpose of this paper is to provide clinicians with important considerations and caveats when evaluating published literature on medication dosing in obese subjects, since much of this literature involves short-term pharmacokinetic or pharmacodynamic studies that are not designed to look at clinically important outcomes. A secondary objective is to suggest improvements in the reporting of dosing information derived from clinical studies and incorporated into product information labeling that should help clinicians design medication-specific dosing regimens for patients with obesity. Data sources included published studies, review papers, and clinical practice guidelines concerning drug dosing of subjects with obesity. Medication dosing recommendations in product labeling typically are derived from studies of normal healthy volunteers and patients with single-system disease states or patients in a specialized setting (e.g. operating room, intensive care unit). Even in studies with relatively large sample sizes there are often relatively few subjects with extremes of body composition such as patients with a body mass index (BMI) greater than 40 kg/m<sup>2</sup>, so the appropriateness of labeled dosing information for these subjects is particularly ill-defined. Investigations of medication labeling information have demonstrated the inadequacy of this information for dosing patients of more extreme body size. Clinical investigations of drugs should be designed and the results reported in a manner that allows for meaningful recommendations for drug dosing in patients with varying degrees of obesity. Until and when such studies are routinely performed, there are steps that can be taken by the pharmaceutical industry, clinicians, and governmental agencies to help insure optimal drug dosing in obesity.",no keywords,Clinical Drug Investigation,purpos paper provid clinician import consider caveat evalu publish literatur medic dose obes subject sinc much literatur involv pharmacokinet pharmacodynam studi design look clinic import outcom secondari object suggest improv report dose inform deriv clinic studi incorpor product inform label help clinician design dose regimen patient obes data sourc includ publish studi review paper clinic practic guidelin concern drug dose subject obes medic dose recommend product label typic deriv studi normal healthi volunt patient diseas state patient special set oper room intens care unit even studi rel larg sampl size often rel subject extrem bodi composit patient bodi mass index bmi greater sup appropri label dose inform subject particularli investig medic label inform demonstr inadequaci inform dose patient extrem bodi size clinic investig drug design result report manner allow meaning recommend drug dose patient vari degre obes studi routin perform step taken pharmaceut industri clinician government agenc help insur optim drug dose obes improv medic dose obes patient
86,Medicalising the menace? The symbiotic convergence of medicine and law enforcement in the medicalisation of marijuana in Minnesota.,"The medicalisation of marijuana has occurred rapidly, albeit nonuniformly, across the US and around the world over the past 3 decades. This paper centres on the medicalisation of marijuana in Minnesota-which has one of the most restrictive programs in the country-as a case for evaluating the negotiation of institutional boundaries with the shift from criminalisation to medicalisation after nearly a century of criminal prohibition. Drawing upon Foucauldian discourse analyses of the medical and law enforcement associations' position statements and legislative hearings that shaped medical marijuana policy in Minnesota, this paper demonstrates a symbiotic convergence between medicine and law enforcement through the deployment of shared discursive strategies in their opposition to medical marijuana that reinforce marijuana's criminalised status by solidifying the boundaries between proper medicine and dangerous drugs. Criminal justice and medical institutions draw upon one another's definitions, logics, and practices in a mutually constitutive manner, while still maintaining distinct user subjects and institutional interventions for each based on the user's access to state-approved forms of marijuana. The consequences for the governing of marijuana in Minnesota are explored, as well as the broader implications for the sociological study of medicalisation and criminalisation with respect to the governance of drugs and health.","criminalisation, discourse analysis, governance, institutional boundaries, medical marijuana",Sociology Of Health & Illness,medicalis marijuana occur rapidli albeit nonuniformli across u around world past decad paper centr medicalis marijuana one restrict program case evalu negoti institut boundari shift criminalis medicalis nearli centuri crimin prohibit draw upon foucauldian discours analys medic law enforc associ posit statement legisl hear shape medic marijuana polici minnesota paper demonstr symbiot converg medicin law enforc deploy share discurs strategi opposit medic marijuana reinforc marijuana criminalis statu solidifi boundari proper medicin danger drug crimin justic medic institut draw upon one anoth definit logic practic mutual constitut manner still maintain distinct user subject institut intervent base user access form marijuana consequ govern marijuana minnesota explor well broader implic sociolog studi medicalis criminalis respect govern drug health medicalis menac symbiot converg medicin law enforc medicalis marijuana minnesota
87,Overview of Spanlastics: A Groundbreaking Elastic Medication Delivery Device with Versatile Prospects for Administration <i>via</i> Various Routes.,"When compared to the challenges associated with traditional dosage forms, medication delivery systems based on nanotechnology have been a huge boon. One such candidate for medication delivery is spanlastics, an elastic nanovesicle that can transport a diverse array of medicinal compounds. The use of spanlastics has been associated with an increase in interest in alternative administration methods. The non-ionic surfactant or surfactant blend is the main component of spanlastics. The purpose of this review was primarily to examine the potential of spanlastics as a delivery system for a variety of medication classes administered via diverse routes. Science Direct, Google Scholar, and Pubmed were utilized to search the academic literature for this review. Several studies have demonstrated that spanlastics greatly improve therapeutic effectiveness, increase medication absorption, and decrease drug toxicity. This paper provides a summary of the composition and structure of spanlastics along with their utility in the delivery of various therapeutic agents by adopting different routes. Additionally, it provides an overview of the numerous disorders that may be treated using drugs that are contained in spanlastic vesicles.","drug toxicity, elastic nanovesicle, medicinal compounds., nanotechnology, non-ionic surfactant, spanlastics",Current Pharmaceutical Design,compar challeng associ tradit dosag form medic deliveri system base nanotechnolog huge boon one candid medic deliveri spanlast elast nanovesicl transport diver array medicin compound use spanlast associ increas interest altern administr method surfact surfact blend main compon spanlast purpos review primarili examin potenti spanlast deliveri system varieti medic class administ via diver rout scienc direct googl scholar pubm util search academ literatur review sever studi demonstr spanlast greatli improv therapeut effect increas medic absorpt decreas drug toxic paper provid summari composit structur spanlast along util deliveri variou therapeut agent adopt differ rout addit provid overview numer disord may treat use drug contain spanlast vesicl overview spanlast groundbreak elast medic deliveri devic versatil prospect administr via variou rout
88,Coerced medication in psychiatric inpatient care: literature review.,"This paper is a report of a narrative review of the coercive use of medication in inpatient psychiatric care to identify a demographic and clinical profile of patients who are forcibly medicated, and to examine patient and staff views of this practice.",no keywords,Journal Of Advanced Nursing,paper report narr review coerciv use medic inpati psychiatr care identifi demograph clinic profil patient forcibl medic examin patient staff view practic coerc medic psychiatr inpati care literatur review
89,Is premenstrual dysphoric disorder really a disorder?,"Premenstrual dysphoric disorder (PMDD) was recently moved to a full category in the DSM-5 (the latest edition of the American Psychiatric Association's Diagnostic and Statistical Manual of Mental Disorders). It also appears set for inclusion as a separate disorder in the ICD-11 (the upcoming edition of the World Health Organization's International Statistical Classification of Diseases and Related Health Problems). This paper argues that PMDD should not be listed in the DSM or the ICD at all, adding to the call to recognise PMDD as a socially constructed disorder. I first present the argument that PMDD pathologises understandable anger/distress and that to do so is potentially dangerous. I then present evidence that PMDD is a culture-bound phenomenon, not a universal one. I also argue that even if (1) medication produces a desired effect, (2) there are biological correlates with premenstrual anger/distress, (3) such anger/distress seems to occur monthly, and (4) women are more likely than men to be diagnosed with affective disorders, none of these factors substantiates that premenstrual anger/distress is caused by a mental disorder. I argue that to assume they do is to ignore the now accepted role that one's environment and psychology play in illness development, as well as arguments concerning the social construction of mental illness. In doing so, I do not claim that there are no women who experience premenstrual distress or that their distress is not a lived experience. My point is that such distress can be recognised and considered significant without being pathologised and that it is unethical to describe premenstrual anger/distress as a mental disorder. Further, if the credibility of women's suffering is subject to doubt without a clinical diagnosis, then the way to address this problem is to change societal attitudes towards women's suffering, not to label women as mentally ill. The paper concludes with some broader implications for women and society of the change in status of PMDD in the DSM-5 as well as a sketch of critical policy suggestions to address these implications.",no keywords,Journal Of Bioethical Inquiry,premenstru dysphor disord pmdd recent move full categori latest edit american psychiatr associ diagnost statist manual mental disord also appear set inclus separ disord upcom edit world health organ intern statist classif diseas relat health problem paper argu pmdd list dsm icd ad call recognis pmdd social construct disord first present argument pmdd pathologis understand potenti danger present evid pmdd phenomenon univers one also argu even medic produc desir effect biolog correl premenstru seem occur monthli woman like men diagnos affect disord none factor substanti premenstru caus mental disord argu assum ignor accept role one environ psycholog play ill develop well argument concern social construct mental ill claim woman experi premenstru distress distress live experi point distress recognis consid signific without pathologis uneth describ premenstru mental disord credibl woman suffer subject doubt without clinic diagnosi way address problem chang societ attitud toward woman suffer label woman mental paper conclud broader implic woman societi chang statu pmdd well sketch critic polici suggest address implic premenstru dysphor disord realli disord
90,Prescriptions and proscriptions: moralising sleep medicines.,"The pharmaceuticalisation of sleep is a contentious issue. Sleep medicines get a 'bad press' due to their potential for dependence and other side effects, including studies reporting increased mortality risks for long-term users. Yet relatively little qualitative social science research has been conducted into how people understand and negotiate their use/non-use of sleep medicines in the context of their everyday lives. This paper draws on focus group data collected in the UK to elicit collective views on and experiences of prescription hypnotics across different social contexts. Respondents, we show, drew on a range of moral repertoires which allowed them to present themselves and their relationships with hypnotics in different ways. Six distinct repertoires about hypnotic use are identified in this regard: the 'deserving' patient, the 'responsible' user, the 'compliant' patient, the 'addict', the 'sinful' user and the 'noble' non user. These users and non-users are constructed drawing on cross-cutting themes of addiction and control, ambivalence and reflexivity. Such issues are in turn discussed in relation to recent sociological debates on the pharmaceuticalisation/de-pharmaceuticalisation of everyday life and the consumption of medicines in the UK today.","drugs/medication, uk, pharmaceuticals/pharmaceutical companies, sleep",Sociology Of Health & Illness,pharmaceuticalis sleep contenti issu sleep medicin get press due potenti depend side effect includ studi report increas mortal risk user yet rel littl qualit social scienc research conduct peopl understand negoti sleep medicin context everyday live paper draw focu group data collect uk elicit collect view experi prescript hypnot across differ social context respond show drew rang moral repertoir allow present relationship hypnot differ way six distinct repertoir hypnot use identifi regard patient user patient user non user user construct draw theme addict control ambival reflex issu turn discus relat recent sociolog debat everyday life consumpt medicin uk today prescript proscript moralis sleep medicin
91,Diagnosis in the field of psychotherapy: a plea for an alternative to the DSM-5.x.,"This paper studies how diagnosis is currently conceptualized in the field of psychiatry, and examines whether this mode of diagnosis is relevant for psychotherapeutic intervention.",no keywords,Psychology And Psychotherapy,paper studi diagnosi current conceptu field psychiatri examin whether mode diagnosi relev psychotherapeut intervent diagnosi field psychotherapi plea altern
92,Transgender medicalization and the attempt to evade psychological distress.,"In this paper the author argues that trans-identification and its associated medical treatment can constitute an attempt to evade experiences of psychological distress. This occurs on three levels. Firstly, the trans person themselves may seek to evade dysregulated affects associated with such experiences as attachment trauma, childhood abuse, and ego-alien sexual feelings. Secondly, therapists may attempt to evade feelings, such as fear and hatred, evoked by engaging with these dysregulated affects. Thirdly, we, as a society, may wish to evade acknowledging the reality of such trauma, abuse and sexual distress by hypothesizing that trans-identification is a biological issue, best treated medically. The author argues that the quality of evidence supporting the biomedical approach is extremely poor. This puts young trans people at risk of receiving potentially damaging medical treatment they may later seek to reverse or come to regret, while their underlying psychological issues remain unaddressed.","beziehungstrauma, detransition, dissoziation, gegenübertragung, geschlechtsdysphorie (gd), affect dérégulé, affetti alterati, attachment trauma, contratransferencia, contretransfert, controtransfert, countertransference, detransición, detransition, detransizione, disforia de género (gd), disforia di genere (dig), disociación, dissociation, dissociazione, dysphorie de genre, dysregulated affect, dysregulierter affekt, dé-transition, emoción desregulada, gender dysphoria (gd), homofobia internalizada, homophobie internalisée, internalised homophobia, internalisierte homophobie, omofobia interiorizzata, transgender, transgenre, transgénero, trauma de apego, trauma dell’attaccamento, traumatisme de l’attachement, гендерная дисфория (gd), детрансформация, дисрегулируемый аффект, диссоциация, интернализованная гомофобия, контрперенос, травма привязанности, трансгендер, 依恋创伤, 内化恐同, 去性别转换, 反移情, 失调的情绪, 性别焦虑症 (gd), 跨性别, 隔离",The Journal Of Analytical Psychology,paper author argu associ medic treatment constitut attempt evad experi psycholog distress occur three level firstli tran person may seek evad dysregul affect associ experi attach trauma childhood abus sexual feel secondli therapist may attempt evad feel fear hatr evok engag dysregul affect thirdli societi may wish evad acknowledg realiti trauma abus sexual distress hypothes biolog issu best treat medic author argu qualiti evid support biomed approach extrem poor put young tran peopl risk receiv potenti damag medic treatment may later seek revers come regret underli psycholog issu remain unaddress transgend medic attempt evad psycholog distress
93,Transforming Patient Compliance Research in an Era of Biomedicalization.,"The term patient noncompliance emerged in the 1970s as a tool for analyzing why people do not follow medical directives. Despite its early popularity, the term has languished in sociology while flourishing in biomedical arenas. It seems flaccid in a contemporary healthcare context as it overestimates physician authority and is tone-deaf to biomedicalization. I draw from sociological and anthropological traditions, as well as qualitative interviews with terminally ill patients ( N = 26) and their caregivers ( N = 16), to consider facets of a biomedicalized health experience and implications for an updated vision of compliance. First, pathways to care have proliferated under biomedicalization. With increased pathways comes increased need for understanding how treatment plans are socially constituted and assessed. Finally, increased complexity demands a more diverse vocabulary for understanding health related decisions. This paper is a call to sociologists to take the lead in transforming and updating this consequential concept.","adherence, biomedicalization, compliance, decision making, end of life",Journal Of Health And Social Behavior,term patient noncompli emerg tool analyz peopl follow medic direct despit earli popular term languish sociolog flourish biomed arena seem flaccid contemporari healthcar context overestim physician author biomedic draw sociolog anthropolog tradit well qualit interview termin ill patient n caregiv n consid facet biomedic health experi implic updat vision complianc first pathway care prolifer biomedic increas pathway come increas need understand treatment plan social constitut assess final increas complex demand diver vocabulari understand health relat decis paper call sociologist take lead transform updat consequenti concept transform patient complianc research era biomedic
94,What do general practitioners know about ADHD? Attitudes and knowledge among first-contact gatekeepers: systematic narrative review.,"Attention Deficit Hyperactivity Disorder (ADHD) is a common childhood disorder with international prevalence estimates of 5 % in childhood, yet significant evidence exists that far fewer children receive ADHD services. In many countries, ADHD is assessed and diagnosed in specialist mental health or neuro-developmental paediatric clinics, to which referral by General (Family) Practitioners (GPs) is required. In such 'gatekeeper' settings, where GPs act as a filter to diagnosis and treatment, GPs may either not recognise potential ADHD cases, or may be reluctant to refer. This study systematically reviews the literature regarding GPs' views of ADHD in such settings.","adhd, attention-deficit hyperactivity disorder, attitudes, family practice, gatekeepers, general practice, systematic review, training",Bmc Family Practice,attent deficit hyperact disord adhd common childhood disord intern preval estim childhood yet signific evid exist far fewer child receiv adhd servic mani countri adhd assess diagnos specialist mental health paediatr clinic referr gener famili practition gp requir set gp act filter diagnosi treatment gp may either recognis potenti adhd case may reluct refer studi systemat review literatur regard gp view adhd set gener practition know adhd attitud knowledg among gatekeep systemat narr review
95,Direct Biofluid Analysis Using Hydrophobic Paper Spray Mass Spectrometry.,"Ambient electrostatic paper spray ionization from a hydrophobic paper occurs when a DC potential is applied to the dry paper triangle. Online liquid/liquid extraction of small organic compounds from a drop of biological fluid present on the dry hydrophobic paper is achieved with an organic spray solvent in under 1 min and utilizes in situ electrostatic-spray ionization for more efficient detection of extracted molecules. Direct analysis of small volumes of biofluids with no sample pretreatment is possible, which is applicable in point-of-care analyses. High sensitivity and quantitative accuracy was achieved for the direct analysis of illicit drugs in 4 μL of raw blood, serum, and whole urine. The study was extended to monitor the activity of alanine transaminase enzyme, a key biomarker for the detection of liver injury in patients (with HIV and tuberculosis) who typically take several medications at once.",no keywords,Analytical Chemistry,ambient electrostat paper spray ioniz hydrophob paper occur dc potenti appli dri paper triangl onlin extract small organ compound drop biolog fluid present dri hydrophob paper achiev organ spray solvent min util situ ioniz effici detect extract molecul direct analysi small volum biofluid sampl pretreat possibl applic analys high sensit quantit accuraci achiev direct analysi illicit drug μl raw blood serum whole urin studi extend monitor activ alanin transaminas enzym key biomark detect liver injuri patient hiv tuberculosi typic take sever medic direct biofluid analysi use hydrophob paper spray mass spectrometri
96,Influence of route of administration/drug formulation and other factors on adherence to treatment in rheumatoid arthritis (pain related) and dyslipidemia (non-pain related).,A comprehensive review was performed to investigate the effect of route of administration on medication adherence and persistence in rheumatoid arthritis (RA) and to compare adherence/persistence with oral medications between RA and a non-painful disease (dyslipidemia).,"drug formulation, dyslipidemias, patient adherence, rheumatoid arthritis",Current Medical Research And Opinion,comprehens review perform investig effect rout administr medic adher persist rheumatoid arthriti ra compar oral medic ra diseas dyslipidemia influenc rout formul factor adher treatment rheumatoid arthriti pain relat dyslipidemia relat
97,Ethical concerns with online direct-to-consumer pharmaceutical companies.,"In recent years, online direct-to-consumer pharmaceutical companies have been created as an alternative method for individuals to get prescription medications. While these companies have noble aims to provide easier, more cost-effective access to medication, the fact that these companies both issue prescriptions (via entirely online medical reviews that can have no direct contact between physician and patient) as well as distribute and ship medications creates multiple ethical concerns. This paper aims to explore two in particular. First, this model creates conflicts of interest for the physicians hired by these companies to write prescriptions. Second, the lack of direct contact from physicians may be harmful to prospective patients. After analysing these issues, this paper argues that there ought to be further consideration for regulation and oversight for these companies.","health care economics, interests of health personnel/institutions, quality of health care",Journal Of Medical Ethics,recent year onlin pharmaceut compani creat altern method individu get prescript medic compani nobl aim provid easier access medic fact compani issu prescript via entir onlin medic review direct contact physician patient well distribut ship medic creat multipl ethic concern paper aim explor two particular first model creat conflict interest physician hire compani write prescript second lack direct contact physician may harm prospect patient analys issu paper argu ought consider regul oversight compani ethic concern onlin pharmaceut compani
98,"A review of the medication pathway in rural Queensland, Australia.","It is well established that rural areas have compromised access to health services, including medication services. This paper reviews the practice developments for rural health professionals in relation to medication processes, with a focus on regulatory provisions in Queensland, Australia, and a view to identifying opportunities for enhanced pharmacy involvement.",no keywords,The International Journal Of Pharmacy Practice,well establish rural area compromis access health servic includ medic servic paper review practic develop rural health profession relat medic process focu regulatori provis queensland australia view identifi opportun enhanc pharmaci involv review medic pathway rural queensland australia
99,Evaluating the effectiveness of self-administration of medication (SAM) schemes in the hospital setting: a systematic review of the literature.,"Self-administration of medicines is believed to increase patients' understanding about their medication and to promote their independence and autonomy in the hospital setting. The effect of inpatient self-administration of medication (SAM) schemes on patients, staff and institutions is currently unclear.",no keywords,Plos One,medicin believ increas patient understand medic promot independ autonomi hospit set effect inpati medic sam scheme patient staff institut current unclear evalu effect medic sam scheme hospit set systemat review literatur
