Title,Authors,Abstract,Publication Date,Journal,Keywords,MeSH Terms,DOI,Author Affiliations
Family Caregiving and the Intergenerational Transmission of Poverty.,Richard L Kaplan,"The United States relies on uncompensated family caregivers to provide most of the long-term care required by older adults as they age. But such care comes at a significant financial cost to these caregivers in the form of lower lifetime earnings and diminished (or even no) Social Security retirement benefits, ineligibility for Medicare coverage of their healthcare costs, and minimal retirement savings. To reduce the impact of uncompensated caregiving on the intergenerational transmission of poverty, this paper discusses three possible mechanisms of compensating family caregivers: public payments, deemed wage credits under Social Security, and income tax incentives.",No date available,"The Journal of law, medicine & ethics : a journal of the American Society of Law, Medicine & Ethics",No keywords,"Caregivers, Family, Financing, Government, Humans, Income Tax, Medicalization, Poverty, Retirement, Social Security, United States",10.1177/1073110518804216,"Richard L. Kaplan, J.D., is the Guy Raymond Jones Chair in Law at the University of Illinois."
An ingestible sensor for measuring medication adherence.,"Hooman Hafezi, Timothy L Robertson, Greg D Moon, Kit-Yee Au-Yeung, Mark J Zdeblick, George M Savage","In this paper, we describe the design and performance of the first integrated-circuit microsensor developed for daily ingestion by patients. The ingestible sensor is a device that allows patients, families, and physicians to measure medication ingestion and adherence patterns in real time, relate pharmaceutical compliance to important physiologic metrics, and take appropriate action in response to a patient's adherence pattern and specific health metrics. The design and theory of operation of the device are presented, along with key in-vitro and in-vivo performance results. The chemical, toxicological, mechanical, and electrical safety tests performed to establish the device's safety profile are described in detail. Finally, aggregate results from multiple clinical trials involving 412 patients and 5656 days of system usage are presented to demonstrate the device's reliability and performance as part of an overall digital health feedback system.",No date available,IEEE transactions on bio-medical engineering,No keywords,"Administration, Oral, Animals, Conductometry, Dogs, Drug Monitoring, Eating, Equipment Design, Equipment Failure Analysis, Gastrointestinal Contents, Humans, Hydrogen-Ion Concentration, Medication Adherence, Monitoring, Ambulatory, Pharmaceutical Preparations, Tablets, Enteric-Coated, Transducers, Wireless Technology",No DOI available,
Materials for microfluidic chip fabrication.,"Kangning Ren, Jianhua Zhou, Hongkai Wu","Through manipulating fluids using microfabricated channel and chamber structures, microfluidics is a powerful tool to realize high sensitive, high speed, high throughput, and low cost analysis. In addition, the method can establish a well-controlled microenivroment for manipulating fluids and particles. It also has rapid growing implementations in both sophisticated chemical/biological analysis and low-cost point-of-care assays. Some unique phenomena emerge at the micrometer scale. For example, reactions are completed in a shorter amount of time as the travel distances of mass and heat are relatively small; the flows are usually laminar; and the capillary effect becomes dominant owing to large surface-to-volume ratios. In the meantime, the surface properties of the device material are greatly amplified, which can lead to either unique functions or problems that we would not encounter at the macroscale. Also, each material inherently corresponds with specific microfabrication strategies and certain native properties of the device. Therefore, the material for making the device plays a dominating role in microfluidic technologies. In this Account, we address the evolution of materials used for fabricating microfluidic chips, and discuss the application-oriented pros and cons of different materials. This Account generally follows the order of the materials introduced to microfluidics. Glass and silicon, the first generation microfluidic device materials, are perfect for capillary electrophoresis and solvent-involved applications but expensive for microfabriaction. Elastomers enable low-cost rapid prototyping and high density integration of valves on chip, allowing complicated and parallel fluid manipulation and in-channel cell culture. Plastics, as competitive alternatives to elastomers, are also rapid and inexpensive to microfabricate. Their broad variety provides flexible choices for different needs. For example, some thermosets support in-situ fabrication of arbitrary 3D structures, while some perfluoropolymers are extremely inert and antifouling. Chemists can use hydrogels as highly permeable structural material, which allows diffusion of molecules without bulk fluid flows. They are used to support 3D cell culture, to form diffusion gradient, and to serve as actuators. Researchers have recently introduced paper-based devices, which are extremely low-cost to prepare and easy to use, thereby promising in commercial point-of-care assays. In general, the evolution of chip materials reflects the two major trends of microfluidic technology: powerful microscale research platforms and low-cost portable analyses. For laboratory research, chemists choosing materials generally need to compromise the ease in prototyping and the performance of the device. However, in commercialization, the major concerns are the cost of production and the ease and reliability in use. There may be new growth in the combination of surface engineering, functional materials, and microfluidics, which is possibly accomplished by the utilization of composite materials or hybrids for advanced device functions. Also, significant expanding of commercial applications can be predicted.",2013,Accounts of chemical research,No keywords,"Hydrogels, Microfluidics, Paper",10.1021/ar300314s,"Department of Chemistry, the Hong Kong University of Science and Technology , Clear Water Bay, Kowloon, Hong Kong, China."
Developments in coupled solid-phase extraction-capillary electrophoresis 2009-2011.,"Rawi Ramautar, Gerhardus J de Jong, Govert W Somsen","This article presents an overview of the design and application of coupled solid-phase extraction-capillary electrophoresis (SPE-CE) systems that have been reported in the literature between January 2009 and July 2011. The present paper is an update of two previous review papers covering the years 2000-2009 (Electrophoresis 2008, 29, 108-128; Electrophoresis 2010, 31, 44-54). Both in-line and on-line SPE-CE approaches are treated and outlined. Attention is paid to emerging technological developments, such as the use of carbon nanotubes and magnetic particles for on-line extraction of sample components prior to CE analysis. Selected examples illustrate the applicability of SPE-CE in biomedical, pharmaceutical, environmental and food analysis. A full overview of recent SPE-CE studies is given in table format, providing information about sample type, SPE sorbent, coupling mode, detection mode and limit of detection. Finally, some general conclusions and future perspectives are given.",2011,Electrophoresis,No keywords,"Blood Proteins, Electrophoresis, Capillary, Food Analysis, Humans, Magnets, Nanotubes, Carbon, Pharmaceutical Preparations, Rivers, Solid Phase Extraction",10.1002/elps.201100453,"Biomolecular Analysis, Department of Pharmaceutical Sciences, Utrecht University, Utrecht, The Netherlands. R.Ramautar@lumc.nl"
Is Aging a Disease? The Theoretical Definition of Aging in the Light of the Philosophy of Medicine.,"Cristian Saborido, Pablo García-Barranquero","In the philosophical debate on aging, it is common to raise the question of the theoretical definition of aging in terms of its possible characterization as a disease. Understanding aging as a disease seems to imply its medicalization, which has important practical consequences. In this paper, we analyze the question of whether aging is a disease by appealing to the concept of disease in the philosophy of medicine. As a result of this analysis, we argue that a pragmatist approach to the conception of disease is the best alternative to highlight the relevance of the medicalization of aging. From this pragmatist perspective, it can be seen that the notion of aging is going through a conceptual change, and aging can today be understood as a not radically different process from any other condition that is usually considered a disease.",No date available,The Journal of medicine and philosophy,"aging, disease, philosophy of medicine, pragmatism","Humans, Philosophy, Medicalization",10.1093/jmp/jhac030,"UNED, Madrid, Spain., University of Málaga, Málaga, Spain."
Patient Autonomy and Quality of Care in Telehealthcare.,"Giovanni Rubeis, Maximilian Schochow, Florian Steger","Telemedicine is a complex field including various applications and target groups. Especially telehealthcare is seen by many as a means to revolutionize medicine. It gives patients the opportunity to take charge of their own health by using self-tracking devices and allows health professionals to treat patients from a distance. To some, this means an empowerment of patient autonomy as well as an improvement in the quality of care. Others state the dangers of depersonalization of medicine and the pathologization of daily life. This paper examines the ethical implications of telehealthcare, focusing on patient autonomy and quality of care by analyzing metareviews, randomized controlled trials and narrative ethical analyses on the topic. As a result, we conclude that the technically enhanced encounter between patients and health professionals may mean an empowerment of patient autonomy when it goes along with a personal relationship based on trust, assistance and support. When it comes to the quality of care, telehealthcare may lead to an improvement as long it is adopted to the patient's individual needs.",2017,Science and engineering ethics,"Empowerment, Patient autonomy, Quality of care, Telehealthcare, Telemedicine","Activities of Daily Living, Depersonalization, Ethical Analysis, Humans, Medicalization, Personal Autonomy, Power, Psychological, Professional-Patient Relations, Quality of Health Care, Self Care, Telemedicine, Trust",10.1007/s11948-017-9885-3,"Institute of the History, Philosophy and Ethics of Medicine, Ulm University, Ulm, Germany. giovanni.rubeis@uni-ulm.de., Institute of the History, Philosophy and Ethics of Medicine, Ulm University, Ulm, Germany., Institute of the History, Philosophy and Ethics of Medicine, Ulm University, Ulm, Germany."
In vitro - In vivo correlation in the development of oral drug formulation: A screenshot of the last two decades.,"Marcelo Gomes Davanço, Daniel Rossi Campos, Patrícia de Oliveira Carvalho","In vitro - in vivo correlation (IVIVC) allows prediction of the in vivo performance of a pharmaceutical product based on its in vitro drug release profiles and can be used to optimize formulations, set dissolution limits, reduce the number of bioequivalence studies during product development, and facilitate certain regulatory decisions. This review article aimed to assess papers published in the last two decades regarding the use of the IVIVC in the development of oral formulations, to demonstrate the scenario in this area, as well as to describe the main characteristics of the assessed studies. A systematic search of PubMed and Web of Science databases was conducted to retrieve articles reporting the use of the IVIVC in the oral formulation development in the period from 1998 to 2018. The qualified studies were abstracted regarding drug name, dosage form, BCS class, in vitro and in vivo data, level of IVIVC, number of formulations, presence of the validation and predictability. The discussion was supported by these data, which allowed to address broadly strengths and weaknesses in this area. Moreover, a large database has been described in this article containing different IVIVC models, with different substances, providing support to scientists interested in this area.",2020,International journal of pharmaceutics,"Biopharmaceutics Classification System, Development, Dissolution, IVIVC, In vitro – in vivo correlation, Oral formulation","Administration, Oral, Animals, Databases, Factual, Drug Compounding, Drug Development, Humans, Pharmaceutical Preparations",10.1016/j.ijpharm.2020.119210,"Universidade São Francisco, Programa de Pós-graduação Stricto Sensu em Ciências da Saúde, Bragança Paulista, São Paulo, Brazil. Electronic address: davanco.marcelo@gmail.com., Universidade São Francisco, Programa de Pós-graduação Stricto Sensu em Ciências da Saúde, Bragança Paulista, São Paulo, Brazil. Electronic address: camposrossi@gmail.com., Universidade São Francisco, Programa de Pós-graduação Stricto Sensu em Ciências da Saúde, Bragança Paulista, São Paulo, Brazil. Electronic address: patricia.carvalho@usf.edu.br."
Detection and quantitation of synthetic cannabinoid receptor agonists in infused papers from prisons in a constantly evolving illicit market.,"Caitlyn Norman, Gillian Walker, Brian McKirdy, Ciara McDonald, Daniel Fletcher, Lysbeth H Antonides, Oliver B Sutcliffe, Niamh Nic Daéid, Craig McKenzie","Drug misuse in prisons contributes to increased disruption and violence and negatively impacts prisoner safety, rehabilitation, and recovery. Synthetic cannabinoid receptor agonists (SCRAs), colloquially known as ""spice"", are infused into papers and are of particular concern in a prison setting where they are commonly vaped. Methods for the qualitative and quantitative analysis of SCRA infused papers, including impurity profiling, were developed using gas chromatography-mass spectrometry (GC-MS) with qualitative confirmation by ultra high pressure liquid chromatography with photodiode array and quadrupole time of flight mass spectrometry detection (UPLC-PDA-QToF-MS) and applied to 354 individual seized paper samples originating from 168 seizures from three Scottish prisons. Of these samples, 41% (146 samples from 101 seizures) contained at least one SCRA and multiple SCRAs were detected on 23% of these papers. Concentrations ranged from < 0.05-1.17 mg/cm<sup>2</sup> paper, representing the first reported quantitative data for SCRA infused papers. An evolution in the SCRAs detected was demonstrated; 5F-MDMB-PINACA (5F-ADB) predominated until late 2018, after which time 5F-MDMB-PICA and 4F-MDMB-BINACA became increasingly more prevalent, followed by the arrival of MDMB-4en-PINACA in June 2019. Concentration mapping data from two seized paper samples demonstrated that SCRA concentrations across larger papers were highly variable (0.47-2.38 mg/cm<sup>2</sup> paper) making consistent dosing by users, and representative sampling by laboratory analysts, difficult. Near real-time qualitative and quantitative information on SCRAs circulating in prisons acts as an early warning system for SCRAs emerging on the wider illicit market, inform the methods used to detect them and limit supply, and provide information to support harm reduction measures.",2020,Drug testing and analysis,"forensic chemistry, infused papers, new psychoactive substances, prison, synthetic cannabinoid receptor agonists","Cannabinoid Receptor Agonists, Cannabinoids, Chromatography, High Pressure Liquid, Gas Chromatography-Mass Spectrometry, Humans, Illicit Drugs, Magnetic Resonance Spectroscopy, Paper, Prisons, Psychotropic Drugs",10.1002/dta.2767,"Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK., Public Protection Unit, Scottish Prison Service, Edinburgh, UK., Public Protection Unit, Scottish Prison Service, Edinburgh, UK., Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK., Drug Discovery Unit, School of Life Sciences, University of Dundee, UK., Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK., Division of Chemistry and Environmental Science, Manchester Metropolitan University, Manchester, UK., Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK., Forensic Drug Research Group, Centre for Anatomy and Human Identification, School of Science and Engineering, University of Dundee, UK."
An Intelligent System for Proper Management and Disposal of Unused and Expired Medications.,"Haneen Banjar, Rahaf Alrowithi, Sara Alhadrami, Esraa Magrabi, Reema Munshi, Mayda Alrige","For years, several countries have been concerned about how to dispose of unused pharmaceuticals that can endanger human health and the environment. Moreover, some people are in desperate need of medical attention and medications, but they lack the financial resources to obtain them. In Saudi Arabia, there are no take-back medicine programs, and there is no published research on how medications properly are disposed. The aim of this research is to use the power of artificial intelligence to assist in the proper management and disposal of expired and unused medications and to develop a prototype device for collecting medication by automatically classifying medications for proper disposal and donation. In this research, artificial intelligence technologies such as web-based expert systems, image recognition and classification algorithms, chatbots, and the internet of things are used to assist in a take-back medications program. In conclusion, the prototype design of a web-based expert system and the device reduced improper disposal risks by providing significant advice on the safe disposal of unwanted pharmaceuticals. By using an organized method of collecting expired medications, the benefits were made possible.",2022,International journal of environmental research and public health,"chatbot, disposal of medication, donation device, image classification, take-back medication program, web-based expert system","Algorithms, Artificial Intelligence, Humans, Pharmaceutical Preparations, Recognition, Psychology, Refuse Disposal, Saudi Arabia",2875,"Computer Science Department, Faculty of Computing and Information Technology, King Abdulaziz University, P.O. Box 80221, Jeddah 21589, Saudi Arabia., Computer Science Department, Faculty of Computing and Information Technology, King Abdulaziz University, P.O. Box 80221, Jeddah 21589, Saudi Arabia., Computer Science Department, Faculty of Computing and Information Technology, King Abdulaziz University, P.O. Box 80221, Jeddah 21589, Saudi Arabia., Computer Science Department, Faculty of Computing and Information Technology, King Abdulaziz University, P.O. Box 80221, Jeddah 21589, Saudi Arabia., Clinical Pharmacy Department, College of Pharmacy, Umm al-Qura University, Makkah 21961, Saudi Arabia., Information System Department, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah 21589, Saudi Arabia."
Solid oral medications' suitability for use in enteral feeding tubes.,"Kersti Teder, Liisa Jõhvik, Andres Meos, Marika Saar, Alesya Visbek, Daisy Volmer, Juri Karjagin","There is a lack of specific data about the efficacy and safety of medications administered via feeding tubes, although there is a general awareness that not all drug formulations are suitable.",2021,Nursing in critical care,"crushing, feeding tube, medications, solid oral dosage forms","Enteral Nutrition, Humans, Intensive Care Units, Intubation, Gastrointestinal, Pharmaceutical Preparations, Retrospective Studies",10.1111/nicc.12729,"Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Pharmacy Department, Tartu University Hospital, Tartu, Estonia., Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Institute of Pharmacy, Faculty of Medicine, University of Tartu, Tartu, Estonia., Institute of Clinical Medicine, Faculty of Medicine, University of Tartu, Tartu, Estonia."
The writing of medical papers. I.,C WILCOCKS,No abstract available,No date available,The Central African journal of medicine,WRITING,"Humans, Movement, Paper, Writing",No DOI available,
A concise review of applications of micellar liquid chromatography to study biologically active compounds.,Katarzyna E Stępnik,"The features of micellar systems are outstanding compared with conventional RP-LC ones. Therefore, the unique properties of micellar chromatography (MLC) are widely recognized. In this short review the applicability of MLC as an in vitro method for the determination of biological activity is discussed. For this purpose many specific examples of MLC applications supported by the theoretical backgrounds of the cited biological activity areas as well as the factors affecting them are presented. This study collects and organizes the most important references of bioactivity determination which were created both recently and in the past, using the MLC method. Although there are many papers on the MLC there is no literature review focused particularly on its applicability in the study of biological activity of various compounds. This work can be treated as a significant review of so far published papers which particularly emphasizes the importance of MLC as in vitro method for determination of bioactivity of different compounds. Copyright © 2016 John Wiley & Sons, Ltd.",2016,Biomedical chromatography : BMC,"biological activity, in vitro, in vivo and in silico methods, micellar liquid chromatography","Animals, Chromatography, Liquid, Humans, Micelles, Pharmaceutical Preparations, Pharmacokinetics, Proteins, Substance Abuse Detection",10.1002/bmc.3741,"Faculty of Chemistry, Chair of Physical Chemistry, Department of Planar Chromatography, Maria Curie-Skłodowska University, M. Curie-Skłodowska Sq. 3, 20-031, Lublin, Poland."
Improving Medication Dosing in the Obese Patient.,Brian L Erstad,"The purpose of this paper is to provide clinicians with important considerations and caveats when evaluating published literature on medication dosing in obese subjects, since much of this literature involves short-term pharmacokinetic or pharmacodynamic studies that are not designed to look at clinically important outcomes. A secondary objective is to suggest improvements in the reporting of dosing information derived from clinical studies and incorporated into product information labeling that should help clinicians design medication-specific dosing regimens for patients with obesity. Data sources included published studies, review papers, and clinical practice guidelines concerning drug dosing of subjects with obesity. Medication dosing recommendations in product labeling typically are derived from studies of normal healthy volunteers and patients with single-system disease states or patients in a specialized setting (e.g. operating room, intensive care unit). Even in studies with relatively large sample sizes there are often relatively few subjects with extremes of body composition such as patients with a body mass index (BMI) greater than 40 kg/m<sup>2</sup>, so the appropriateness of labeled dosing information for these subjects is particularly ill-defined. Investigations of medication labeling information have demonstrated the inadequacy of this information for dosing patients of more extreme body size. Clinical investigations of drugs should be designed and the results reported in a manner that allows for meaningful recommendations for drug dosing in patients with varying degrees of obesity. Until and when such studies are routinely performed, there are steps that can be taken by the pharmaceutical industry, clinicians, and governmental agencies to help insure optimal drug dosing in obesity.",No date available,Clinical drug investigation,No keywords,"Body Composition, Body Mass Index, Humans, Obesity, Pharmaceutical Preparations, Product Labeling",10.1007/s40261-016-0461-4,"Department of Pharmacy Practice and Science, College of Pharmacy, University of Arizona, 1295 N. Martin, PO Box 210202, Tucson, AZ, 85721, USA. erstad@pharmacy.arizona.edu."
Medicalising the menace? The symbiotic convergence of medicine and law enforcement in the medicalisation of marijuana in Minnesota.,Ryan T Steel,"The medicalisation of marijuana has occurred rapidly, albeit nonuniformly, across the US and around the world over the past 3 decades. This paper centres on the medicalisation of marijuana in Minnesota-which has one of the most restrictive programs in the country-as a case for evaluating the negotiation of institutional boundaries with the shift from criminalisation to medicalisation after nearly a century of criminal prohibition. Drawing upon Foucauldian discourse analyses of the medical and law enforcement associations' position statements and legislative hearings that shaped medical marijuana policy in Minnesota, this paper demonstrates a symbiotic convergence between medicine and law enforcement through the deployment of shared discursive strategies in their opposition to medical marijuana that reinforce marijuana's criminalised status by solidifying the boundaries between proper medicine and dangerous drugs. Criminal justice and medical institutions draw upon one another's definitions, logics, and practices in a mutually constitutive manner, while still maintaining distinct user subjects and institutional interventions for each based on the user's access to state-approved forms of marijuana. The consequences for the governing of marijuana in Minnesota are explored, as well as the broader implications for the sociological study of medicalisation and criminalisation with respect to the governance of drugs and health.",2022,Sociology of health & illness,"criminalisation, discourse analysis, governance, institutional boundaries, medical marijuana","Cannabis, Humans, Law Enforcement, Medical Marijuana, Medicalization, Minnesota",10.1111/1467-9566.13513,"Department of Sociology and Anthropology, University of Richmond, Richmond, Virginia, USA."
Overview of Spanlastics: A Groundbreaking Elastic Medication Delivery Device with Versatile Prospects for Administration <i>via</i> Various Routes.,"Lalit Kumar, Ritesh Rana, Gauree Kukreti, Vikas Aggarwal, Himanshu Chaurasia, Puneet Sharma, Vuluchala Jyothiraditya","When compared to the challenges associated with traditional dosage forms, medication delivery systems based on nanotechnology have been a huge boon. One such candidate for medication delivery is spanlastics, an elastic nanovesicle that can transport a diverse array of medicinal compounds. The use of spanlastics has been associated with an increase in interest in alternative administration methods. The non-ionic surfactant or surfactant blend is the main component of spanlastics. The purpose of this review was primarily to examine the potential of spanlastics as a delivery system for a variety of medication classes administered via diverse routes. Science Direct, Google Scholar, and Pubmed were utilized to search the academic literature for this review. Several studies have demonstrated that spanlastics greatly improve therapeutic effectiveness, increase medication absorption, and decrease drug toxicity. This paper provides a summary of the composition and structure of spanlastics along with their utility in the delivery of various therapeutic agents by adopting different routes. Additionally, it provides an overview of the numerous disorders that may be treated using drugs that are contained in spanlastic vesicles.",No date available,Current pharmaceutical design,"Drug toxicity, elastic nanovesicle, medicinal compounds., nanotechnology, non-ionic surfactant, spanlastics","Humans, Drug Delivery Systems, Drug Administration Routes, Pharmaceutical Preparations, Animals, Elasticity, Surface-Active Agents, Nanotechnology",10.2174/0113816128313398240613063019,"Department of Pharmaceutics, GNA School of Pharmacy, GNA University, Phagwara, Punjab 144401, India., Department of Pharmaceutical Sciences (Pharmaceutics), Laureate Institute of Pharmacy, Kathog-Kangra, Himachal Pradesh 176031, India., School of Pharmaceutical Sciences and Technology, Sardar Bhagwan Singh University, Balawala Dehradun, Uttarakhand 248161, India., Senior Pharmacovigilance Specialist, Continuum India LLP, 3rd Floor, Tower F DLF Building, Chandigarh Technology Park, Chandigarh 160101, India., Department of Pharmacy, Quantum School of Health Science, Quantum University, Vill. Mandawar (N.H.73), Roorkee-Dehradun Highway, Roorkee, Uttrakhand 247662, India., Department of Pharmaceutical Sciences (Pharmaceutics), Himachal Institute of Pharmaceutical Education and Research (HIPER), Bela-Nadaun, District-Hamirpur, H.P. 177033, India., Center for Global Health Research, Saveetha Medical College and Hospital, Saveetha Institute of Medical and Technical Sciences, Chennai, Tamil Nadu 602105, India."
Coerced medication in psychiatric inpatient care: literature review.,"Manuela Jarrett, Len Bowers, Alan Simpson","This paper is a report of a narrative review of the coercive use of medication in inpatient psychiatric care to identify a demographic and clinical profile of patients who are forcibly medicated, and to examine patient and staff views of this practice.",No date available,Journal of advanced nursing,No keywords,"Attitude of Health Personnel, Coercion, Ethnicity, Female, Humans, Informed Consent, Inpatients, Male, Mental Disorders, Mentally Ill Persons, Patient Compliance, Patient Rights, Pharmaceutical Preparations, Practice Guidelines as Topic",10.1111/j.1365-2648.2008.04832.x,"Health Service and Population Research Department, Institute of Psychiatry, London, UK. manueala.jarrett@iop.kcl.ac.uk"
Is premenstrual dysphoric disorder really a disorder?,Tamara Kayali Browne,"Premenstrual dysphoric disorder (PMDD) was recently moved to a full category in the DSM-5 (the latest edition of the American Psychiatric Association's Diagnostic and Statistical Manual of Mental Disorders). It also appears set for inclusion as a separate disorder in the ICD-11 (the upcoming edition of the World Health Organization's International Statistical Classification of Diseases and Related Health Problems). This paper argues that PMDD should not be listed in the DSM or the ICD at all, adding to the call to recognise PMDD as a socially constructed disorder. I first present the argument that PMDD pathologises understandable anger/distress and that to do so is potentially dangerous. I then present evidence that PMDD is a culture-bound phenomenon, not a universal one. I also argue that even if (1) medication produces a desired effect, (2) there are biological correlates with premenstrual anger/distress, (3) such anger/distress seems to occur monthly, and (4) women are more likely than men to be diagnosed with affective disorders, none of these factors substantiates that premenstrual anger/distress is caused by a mental disorder. I argue that to assume they do is to ignore the now accepted role that one's environment and psychology play in illness development, as well as arguments concerning the social construction of mental illness. In doing so, I do not claim that there are no women who experience premenstrual distress or that their distress is not a lived experience. My point is that such distress can be recognised and considered significant without being pathologised and that it is unethical to describe premenstrual anger/distress as a mental disorder. Further, if the credibility of women's suffering is subject to doubt without a clinical diagnosis, then the way to address this problem is to change societal attitudes towards women's suffering, not to label women as mentally ill. The paper concludes with some broader implications for women and society of the change in status of PMDD in the DSM-5 as well as a sketch of critical policy suggestions to address these implications.",2014,Journal of bioethical inquiry,No keywords,"Diagnostic and Statistical Manual of Mental Disorders, Female, Humans, Medicalization, Premenstrual Dysphoric Disorder",10.1007/s11673-014-9567-7,"Biology Teaching and Learning Centre, Research School of Biology, The Australian National University, R.N. Robertson Building, Building 46, Canberra, ACT 0200, Australia, t.kayali.05@cantab.net."
Prescriptions and proscriptions: moralising sleep medicines.,"Jonathan Gabe, Catherine M Coveney, Simon J Williams","The pharmaceuticalisation of sleep is a contentious issue. Sleep medicines get a 'bad press' due to their potential for dependence and other side effects, including studies reporting increased mortality risks for long-term users. Yet relatively little qualitative social science research has been conducted into how people understand and negotiate their use/non-use of sleep medicines in the context of their everyday lives. This paper draws on focus group data collected in the UK to elicit collective views on and experiences of prescription hypnotics across different social contexts. Respondents, we show, drew on a range of moral repertoires which allowed them to present themselves and their relationships with hypnotics in different ways. Six distinct repertoires about hypnotic use are identified in this regard: the 'deserving' patient, the 'responsible' user, the 'compliant' patient, the 'addict', the 'sinful' user and the 'noble' non user. These users and non-users are constructed drawing on cross-cutting themes of addiction and control, ambivalence and reflexivity. Such issues are in turn discussed in relation to recent sociological debates on the pharmaceuticalisation/de-pharmaceuticalisation of everyday life and the consumption of medicines in the UK today.",2015,Sociology of health & illness,"drugs/medication, UK, pharmaceuticals/pharmaceutical companies, sleep","Adult, Female, Focus Groups, Humans, Hypnotics and Sedatives, Male, Medicalization, Middle Aged, Morals, Prescription Drugs, Qualitative Research, Sleep, United Kingdom",10.1111/1467-9566.12383,"Centre for Criminology & Sociology, Royal Holloway, University of London., Centre for Global Health Policy, University of Sussex., Department of Sociology, University of Warwick."
Implementing an EMR: paper's last hurrah.,"D N Mohr, P C Carpenter, P L Claus, P T Hagen, P R Karsell, R E Van Scoy","The implementation of an electronic medical record system in any large organization is as complex a task as the design of the system. During implementation, it is necessary that health care providers using the electronic system are able to communicate with colleagues who are continuing to work with the paper record. The Mayo Clinic in Rochester, Minnesota, is well along the path to implementing an electronic medical record system. One of the key issues addressed has been the need for the electronic system to integrate with the paper record. This need to function in the dual electronic/paper environment has placed new demands on printers, required revision of some paper forms, and required the electronic system to create facsimilies of paper record forms. In addition, new security issues have been raised. Dual paper/electronic environment issues are an important challenge in the implementation of an electronic medical record.",No date available,Proceedings. Symposium on Computer Applications in Medical Care,No keywords,"Computer Systems, Humans, Medical Records, Medical Records Systems, Computerized, Paper, Systems Integration",No DOI available,"Mayo Clinic, Rochester, Minnesota, USA."
Diagnosis in the field of psychotherapy: a plea for an alternative to the DSM-5.x.,Stijn Vanheule,"This paper studies how diagnosis is currently conceptualized in the field of psychiatry, and examines whether this mode of diagnosis is relevant for psychotherapeutic intervention.",No date available,Psychology and psychotherapy,No keywords,"Diagnosis, Diagnostic and Statistical Manual of Mental Disorders, Humans, Medicalization, Mental Disorders, Philosophy, Psychiatry, Psychological Theory, Psychotherapy",10.1111/j.2044-8341.2012.02069.x,"Department of Psychoanalysis and Clinical Consulting, Ghent University, Ghent, Belgium. Stijn.Vanheule@ugent.be"
Medical history and the European Union: Papanicolaou and Asklepios.,"Theodor Tirilomis, Stella Malliarou",No abstract available,No date available,The Medical journal of Australia,No keywords,"Emblems and Insignia, European Union, Greece, History, 19th Century, History, 20th Century, History, Ancient, Humans, Numismatics, Paper, Symbolism, Vaginal Smears",No DOI available,"Department of Thoracic, Cardiac and Vascular Surgery, University of Göttingen, Göttingen, Germany. theodor.tirilomis@med.uni-goettingen.de"
Transgender medicalization and the attempt to evade psychological distress.,Robert Withers,"In this paper the author argues that trans-identification and its associated medical treatment can constitute an attempt to evade experiences of psychological distress. This occurs on three levels. Firstly, the trans person themselves may seek to evade dysregulated affects associated with such experiences as attachment trauma, childhood abuse, and ego-alien sexual feelings. Secondly, therapists may attempt to evade feelings, such as fear and hatred, evoked by engaging with these dysregulated affects. Thirdly, we, as a society, may wish to evade acknowledging the reality of such trauma, abuse and sexual distress by hypothesizing that trans-identification is a biological issue, best treated medically. The author argues that the quality of evidence supporting the biomedical approach is extremely poor. This puts young trans people at risk of receiving potentially damaging medical treatment they may later seek to reverse or come to regret, while their underlying psychological issues remain unaddressed.",No date available,The Journal of analytical psychology,"Beziehungstrauma, Detransition, Dissoziation, Gegenübertragung, Geschlechtsdysphorie (GD), affect dérégulé, affetti alterati, attachment trauma, contratransferencia, contretransfert, controtransfert, countertransference, detransición, detransition, detransizione, disforia de género (GD), disforia di genere (DIG), disociación, dissociation, dissociazione, dysphorie de genre, dysregulated affect, dysregulierter Affekt, dé-transition, emoción desregulada, gender dysphoria (GD), homofobia internalizada, homophobie internalisée, internalised homophobia, internalisierte Homophobie, omofobia interiorizzata, transgender, transgenre, transgénero, trauma de apego, trauma dell’attaccamento, traumatisme de l’attachement, гендерная дисфория (GD), детрансформация, дисрегулируемый аффект, диссоциация, интернализованная гомофобия, контрперенос, травма привязанности, трансгендер, 依恋创伤, 内化恐同, 去性别转换, 反移情, 失调的情绪, 性别焦虑症 (GD), 跨性别, 隔离","Female, Humans, Male, Medicalization, Psychological Distress, Transgender Persons, Transsexualism",10.1111/1468-5922.12641,Brighton.
